N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
1,삼성전자,"56,400",200,+0.36%,100,"3,366,957","5,969,783",49.49,"9,873,283",8.55,13.92,
2,LG에너지솔루션,"478,500","27,500",-5.43%,500,"1,119,690","234,000",4.39,"407,266",794.85,10.68,
3,SK하이닉스,"90,200","1,000",-1.10%,"5,000","656,658","728,002",50.34,"1,484,386",5.72,16.84,
4,삼성바이오로직스,"807,000","5,000",+0.62%,"2,500","574,374","71,174",10.51,"29,301",107.33,8.21,
5,LG화학,"635,000",0,0.00%,"5,000","448,261","70,592",48.13,"131,624",22.39,18.47,
6,현대차,"201,500",500,+0.25%,"5,000","430,541","213,668",28.91,"544,177",8.94,6.84,
7,삼성전자우,"51,600",100,+0.19%,100,"424,610","822,887",71.79,"666,288",7.83,N/A,
8,삼성SDI,"607,000","5,000",+0.83%,"5,000","417,401","68,765",44.29,"130,996",28.32,8.45,
9,NAVER,"217,500","2,500",-1.14%,100,"356,807","164,049",53.00,"343,687",35.48,106.72,
10,기아,"81,100",0,0.00%,"5,000","328,750","405,363",37.01,"507,491",6.21,14.69,
11,카카오,"65,600","1,300",-1.94%,100,"292,124","445,311",28.25,"840,208",13.12,17.10,
12,셀트리온,"172,500","1,500",-0.86%,"1,000","242,866","140,792",20.86,"182,867",43.16,16.04,
13,삼성물산,"111,500","1,500",-1.33%,100,"208,379","186,887",16.31,"128,629",13.28,5.40,
14,KB금융,"49,600",500,-1.00%,"5,000","202,813","408,897",73.64,"478,244",4.38,9.80,
15,현대모비스,"209,500",500,-0.24%,"5,000","198,131","94,573",35.22,"61,073",8.35,6.87,
16,POSCO홀딩스,"231,000",500,+0.22%,"5,000","195,360","84,571",53.93,"184,399",2.79,13.97,
17,신한지주,"36,150",250,+0.70%,"5,000","185,426","512,934",61.78,"613,734",4.49,8.80,
18,SK,"222,500","2,000",-0.89%,200,"164,982","74,149",22.37,"44,387",4.99,10.19,
19,SK이노베이션,"177,000",500,-0.28%,"5,000","163,664","92,466",25.62,"135,943",6.47,1.91,
20,LG전자,"90,500",100,-0.11%,"5,000","148,101","163,648",25.69,"341,524",8.88,6.32,
21,포스코케미칼,"178,000",500,+0.28%,500,"137,885","77,463",7.41,"569,010",100.56,7.92,
22,LG,"79,800","1,000",-1.24%,"5,000","125,526","157,301",36.27,"74,521",5.48,12.36,
23,한국전력,"19,500",600,+3.17%,"5,000","125,183","641,964",14.52,"846,766",-0.81,-7.99,
24,삼성생명,"62,500","1,100",-1.73%,500,"125,000","200,000",13.22,"109,556",17.13,4.01,
25,카카오뱅크,"25,100",150,-0.59%,"5,000","119,632","476,621",13.75,"790,523",55.65,4.91,
26,고려아연,"589,000","29,000",-4.69%,"5,000","116,994","19,863",17.61,"75,402",13.04,11.07,
27,KT&G,"84,300",600,+0.72%,"5,000","115,738","137,292",40.50,"204,387",10.93,10.74,
28,하나금융지주,"38,600",300,-0.77%,"5,000","114,219","295,903",71.32,"509,903",3.30,10.86,
29,SK텔레콤,"51,700",700,-1.34%,100,"113,137","218,833",46.44,"402,041",8.91,13.63,
30,크래프톤,"227,000","12,000",-5.02%,100,"111,394","49,072",29.07,"194,605",17.64,17.86,
31,두산에너빌리티,"16,900",700,-3.98%,"5,000","107,874","638,308",11.36,"4,985,597",127.07,10.67,
32,LG생활건강,"682,000","7,000",-1.02%,"5,000","106,516","15,618",37.75,"19,703",20.25,16.65,
33,현대중공업,"116,000","4,000",-3.33%,"5,000","102,977","88,773",5.65,"581,203",-13.94,-14.87,
34,S-Oil,"89,300",600,+0.68%,"2,500","100,536","112,583",82.12,"151,587",4.15,21.76,
35,HMM,"20,000",600,-2.91%,"5,000","97,808","489,039",8.65,"1,548,221",0.84,88.62,
36,한화솔루션,"50,500",700,-1.37%,"5,000","96,596","191,278",21.96,"2,172,429",27.79,8.79,
37,삼성전기,"128,500","2,500",-1.91%,"5,000","95,981","74,694",25.69,"242,301",9.67,14.29,
